,Country,count
0,Afghanistan,2
1,Argentina,1
2,Australia,34
3,Austria,4
4,Bangladesh,1
5,Belgium,5
6,Bosnia and Herzegovina,2
7,Brazil,9
8,Brunei,1
9,Bulgaria,7
10,Canada,72
11,Chile,3
12,China,1
13,Colombia,2
14,Costa Rica,1
15,Czech Republic,3
16,Denmark,7
17,Ecuador,1
18,Estonia,2
19,Finland,7
20,France,14
21,Germany,58
22,Greece,1
23,Guatemala,1
24,Hungary,1
25,India,9
26,Iran,1
27,Ireland,15
28,Israel,2
29,Italy,3
30,Japan,1
31,Lithuania,1
32,Mexico,2
33,Netherlands,47
34,New Zealand,9
35,Norway,3
36,Other,2
37,Pakistan,2
38,Poland,4
39,Romania,3
40,Russia,9
41,Serbia,1
42,Slovakia,1
43,South Africa,4
44,Spain,3
45,Sweden,20
46,Switzerland,10
47,Turkey,1
48,United Arab Emirates,1
49,United Kingdom,183
50,United States of America,849
51,Venezuela,1
52,Vietnam,1
