,Country,Male_Prev,Female_Prev,Gap_minder,gender_difference
190,Poland,2.044564739504286,2.4705684905428575,31079276.30612245,0.42600375103857147
192,Puerto Rico,2.5458067600550005,2.972877362256071,2255996.4919354836,0.4270706022010704
52,Colombia,2.0446532373539292,2.555457447254643,18466414.092436973,0.510804209900714
162,Namibia,3.1288833415921435,3.7235296373824993,1189886.7313432836,0.5946462957903558
177,Northern Mariana Islands,2.7715536765021427,3.373296496562143,31965.71212121212,0.6017428200600001
209,Seychelles,2.6140884324232148,3.24228997969,58247.859154929574,0.6282015472667855
94,Guam,3.1399465990692854,3.778358577386072,101266.2972972973,0.6384119783167868
161,Myanmar,1.9010956193278574,2.561266163063215,24561115.396396395,0.6601705437353578
201,Saint Vincent and the Grenadines,2.460859415654286,3.142056027966072,87528.78947368421,0.6811966123117861
229,Swaziland,3.5308810384949996,4.231952016918929,647551.5428571429,0.7010709784239295
266,Zimbabwe,2.7078976752364285,3.4422103503378567,7845054.151515151,0.7343126751014282
123,Kiribati,2.8170534912,3.5528495197264283,58967.666666666664,0.7357960285264284
200,Saint Lucia,2.4316937012464286,3.171362996256071,113561.28378378379,0.7396692950096426
84,Gabon,3.7345296742225,4.4744866506914285,822896.2121212122,0.7399569764689287
195,Romania,1.9506031990875,2.6993776651000005,17977414.7184466,0.7487744660125006
56,Costa Rica,2.4437005542625,3.2048385931025,1823878.193877551,0.76113803884
38,Cape Verde,3.5944496536021426,4.355944942120714,321446.0,0.7614952885185713
43,Central Europe,2.0992400867689285,2.865194139771429,,0.7659540530025004
257,Venezuela,2.4052536917071428,3.1730125528332143,8683005.523809524,0.7677588611260715
265,Zambia,3.1595065548164283,3.9407364757921433,6352979.927536231,0.781229920975715
92,Grenada,2.3781994619671423,3.165980769117143,87876.49333333333,0.7877813071500008
225,Sri Lanka,3.199997633791429,3.99287444269,9076777.925170068,0.7928768088985709
58,Croatia,2.5020551814142857,3.2992007898464295,4214893.984848484,0.7971456084321438
184,Panama,2.2610212462153565,3.0621143837917857,1356713.152542373,0.8010931375764292
22,Belize,2.4101820972421426,3.218691625273213,152422.58666666667,0.8085095280310703
77,Ethiopia,3.5397062000896438,4.350361125675358,42828554.484848484,0.8106549255857138
126,Laos,2.4690122548617857,3.3120384345767855,3547286.4264705884,0.8430261797149998
202,Samoa,2.6752489683121428,3.526736835773572,133887.1891891892,0.8514878674614295
152,Micronesia (country),2.718396208115714,3.5717008768314287,,0.8533046687157149
61,Czech Republic,2.325617001336785,3.1985997499742864,9853940.681818182,0.8729827486375012
