,Country,Male_Prev,Female_Prev,Gap_minder,gender_difference
190,Poland,2.044564739504286,2.4705684905428575,31079276.30612245,0.42600375103857147
192,Puerto Rico,2.5458067600550005,2.972877362256071,2255996.4919354836,0.4270706022010704
52,Colombia,2.0446532373539292,2.555457447254643,18466414.092436973,0.510804209900714
162,Namibia,3.1288833415921435,3.7235296373824993,1189886.7313432836,0.5946462957903558
177,Northern Mariana Islands,2.7715536765021427,3.373296496562143,31965.71212121212,0.6017428200600001
209,Seychelles,2.6140884324232148,3.24228997969,58247.859154929574,0.6282015472667855
94,Guam,3.1399465990692854,3.778358577386072,101266.2972972973,0.6384119783167868
161,Myanmar,1.9010956193278574,2.561266163063215,24561115.396396395,0.6601705437353578
201,Saint Vincent and the Grenadines,2.460859415654286,3.142056027966072,87528.78947368421,0.6811966123117861
229,Swaziland,3.5308810384949996,4.231952016918929,647551.5428571429,0.7010709784239295
252,United States,3.514961109328571,5.9208622708625,120373689.81632653,2.405901161533929
80,Finland,3.9477812331321425,6.380760116694288,3142078.663265306,2.432978883562146
231,Switzerland,2.7077772437207144,5.149663099406785,4141861.5102040814,2.441885855686071
81,France,3.0988585164471423,5.562787434255713,43168448.64285714,2.463928917808571
90,Greece,2.9275660017839287,5.441566259476429,6136479.265306123,2.5140002576925
131,Liberia,2.351076153458929,5.013162374160357,2001321.1666666667,2.662086220701428
191,Portugal,3.2689332934267865,5.9976281110267875,6543848.3367346935,2.728694817600001
230,Sweden,3.1754855793992856,5.943431304474643,5254255.172413793,2.7679457250753576
85,Gambia,2.603367185526428,5.754657315482857,810126.2121212122,3.1512901299564287
91,Greenland,4.808284462019286,8.300818466643213,46117.36363636364,3.492534004623926
